127.0.0.1, 2015-04-27 22:00:47, GET, /admin/static/_2.10.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000721
127.0.0.1, 2015-04-27 22:00:47, GET, /admin/static/_2.10.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000969
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000621
127.0.0.1, 2015-04-27 22:00:47, GET, /admin/static/_2.10.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001346
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002221
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000767
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000898
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001771
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000592
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000950
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002103
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001461
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.067183
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/js/ajax_editor.js, HTTP/1.1, 200, 0.068455
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/js/typeahead.min.js, HTTP/1.1, 200, 0.067627
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/images/files_toggle.png, HTTP/1.1, 200, 0.099690
127.0.0.1, 2015-04-27 22:00:48, GET, /admin/static/_2.10.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.093106
127.0.0.1, 2015-04-27 22:00:49, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.223073
127.0.0.1, 2015-04-27 22:00:49, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.360583
127.0.0.1, 2015-04-27 22:00:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.549459
127.0.0.1, 2015-04-27 22:00:51, GET, /admin/default/files_menu, HTTP/1.1, 200, 1.883793
127.0.0.1, 2015-04-27 22:00:51, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.982051
127.0.0.1, 2015-04-27 22:00:52, GET, /admin/static/_2.10.3/images/save_icon.png, HTTP/1.1, 200, 0.653097
127.0.0.1, 2015-04-27 22:00:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2015-04-27 22:00:52, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 2.843013
127.0.0.1, 2015-04-27 22:01:05, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.234021
127.0.0.1, 2015-04-27 22:01:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000222
127.0.0.1, 2015-04-27 22:01:07, GET, /admin/default/index, HTTP/1.1, 303, 0.004306
127.0.0.1, 2015-04-27 22:01:07, GET, /admin/default/site, HTTP/1.1, 200, 0.116867
127.0.0.1, 2015-04-27 22:01:07, GET, /admin/static/_2.10.3/images/folder_locked.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2015-04-27 22:01:08, GET, /admin/static/_2.10.3/images/folder.png, HTTP/1.1, 200, 0.000642
127.0.0.1, 2015-04-27 22:01:08, GET, /admin/static/_2.10.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000528
127.0.0.1, 2015-04-27 22:01:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2015-04-27 22:01:08, POST, /admin/default/check_version, HTTP/1.1, 200, 0.334135
127.0.0.1, 2015-04-27 22:01:10, GET, /nikomen/default/index, HTTP/1.1, 404, 0.006772
127.0.0.1, 2015-04-27 22:01:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001261
127.0.0.1, 2015-04-27 22:01:13, GET, /admin/default/site, HTTP/1.1, 200, 0.039594
127.0.0.1, 2015-04-27 22:01:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2015-04-27 22:01:23, POST, /admin/default/enable/examples, HTTP/1.1, 200, 0.039229
127.0.0.1, 2015-04-27 22:01:25, POST, /admin/default/enable/welcome, HTTP/1.1, 200, 0.051496
127.0.0.1, 2015-04-27 22:01:29, GET, /nikomen/default/index, HTTP/1.1, 404, 0.004794
127.0.0.1, 2015-04-27 22:01:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000691
127.0.0.1, 2015-04-27 22:01:31, GET, /admin/default/site, HTTP/1.1, 200, 0.055964
127.0.0.1, 2015-04-27 22:01:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000243
127.0.0.1, 2015-04-27 22:02:09, GET, /nikomen/default/index, HTTP/1.1, 404, 0.004882
127.0.0.1, 2015-04-27 22:02:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000870
127.0.0.1, 2015-04-27 22:02:15, GET, /admin/default/site, HTTP/1.1, 200, 0.096348
127.0.0.1, 2015-04-27 22:02:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000865
127.0.0.1, 2015-04-27 22:04:39, GET, /nikomen/default/index, HTTP/1.1, 404, 0.004468
127.0.0.1, 2015-04-27 22:04:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000573
127.0.0.1, 2015-04-27 22:04:41, GET, /admin/default/site, HTTP/1.1, 200, 0.049128
127.0.0.1, 2015-04-27 22:04:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2015-04-27 22:04:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.568270
